"update.pleaseWait" : "Please wait..."
"update.manually" : "Faild to update. Please update manually."
"update.inProgress" : "In progress..."
"update.restart" : "Updated successfully! Please restart game."
"update.failed" : "Update has failed."
"title.button.updateNebula" : "Update NoS"
"title.button.getStableNebula" : "Get Stable NoS"
"title.button.existNewerNebula" : "Exist Newer Nos\nFor Newer Among Us"
"title.button.updateNebulaSnapshot" : "Get NoS Snapshot"
"title.button.twitter" : "Twitter"
"title.button.discord" : "Discord"

"config.debug.snapshot" : "Use Snapshot"
"config.debug.outputHash" : "Output Cosmics' Hash"
"config.option.pictureDest" : "Screenshot Destination"
"config.option.pictureDest.amongUsDirectory" : "Among Us Directory"
"config.option.pictureDest.myPictures" : "My Pictures"
"config.option.pictureDest.myDocuments" : "My Documents"
"config.option.pictureDest.desktop" : "Desktop"
"config.option.processorRestriction" : "Processor Restriction"
"config.option.processorRestriction.dontCare" : "Don't Care"
"config.option.processorRestriction.dualCoreHT" : "Dual Core(HT)"
"config.option.processorRestriction.dualCore" : "Dual Core"
"config.option.processorRestriction.singleCore" : "Single Core"
"config.option.prioritizeAmongUs" : "Prioritize Among Us"
"config.option.prioritizeAmongUs.confirm" : "This change will earned better performance\nwith the RISK destabilizing your PC operation.\nDo you still want to enable it?"
"config.option.timeoutExtension" : "Timeout Extension"
"config.option.dontCareMismatchedNoS" : "Don't care Mismatched NoS" 
"config.option.preventSpoiler" : "Prevent Spoiler"
"config.option.yes" : "Yes"
"config.option.no" : "No"
"config.option.confirm" : "OK"
"config.option.keyBinding" : "Key Bindings"
"config.option.keyBinding.restoreDefaults" : "Restore Defaults"
"config.option.keyBinding.ability" : "Use Ability"
"config.option.keyBinding.secondaryAbility" : "Use Secondary Ability"
"config.option.keyBinding.changeAbility" : "Change Ability"
"config.option.keyBinding.modifierAbility" : "Use Modifier Ability"
"config.option.keyBinding.kill" : "Kill"
"config.option.keyBinding.help" : "Help"
"config.option.keyBinding.observer" : "Toggle Observer Mode"
"config.option.keyBinding.changeEyesightLeft" : "Change Eyesight(Left)"
"config.option.keyBinding.changeEyesightRight" : "Change Eyesight(Right)"
"config.option.keyBinding.observerShortcut" : "Toggle Observer Shortcut"
"config.option.keyBinding.metaControl" : "Meta Control"
"config.option.keyBinding.noGame" : "No Game(Meta Control)"

"lobby.hasNoNebula" : "%NAME% don't have Nebula on the Ship"
"lobby.hasDifferentNebula" : "%NAME% has a different version of Nebula on the Ship"
"lobby.willEliminatedByMismatchVersion" : "The host has no or a different version of Nebula on the Ship\nYou will be kicked in %STAY%s"

"gamemode.standard" : "Standard"
"gamemode.minigame" : "Escape"
"gamemode.ritual" : "Coming Soon!"
"gamemode.investigators" : "Coming Soon!"
"gamemode.freePlay" : "Free Play"

"cosmic.package.innerslothHats" : "Innersloth Hats"
"cosmic.package.innerslothNameplates" : "Innersloth Nameplates"
"cosmic.package.innerslothVisors" : "Innersloth Visors"
"cosmic.package.standardNameplate" : "Standard Collections"
"cosmic.package.nosCommHat" : "NoS Community Hats"
"cosmic.package.nosCommNameplate" : "NoS Community Nameplates"
"cosmic.package.nosCommVisor" : "NoS Community Visors"
"cosmic.package.local" : "Local Cosmics"

"preset.save" : "Save Current Setting"
"preset.dialog.save" : "Current settings have been saved!"
"preset.dialog.load" : "Loaded the preset successfully!"
"preset.dialog.loadFailed" : "Failed to load preset..."

"option.tab.settings" : "Settings"
"option.tab.crewmateRoles" : "Crewmate <color=#ffffffff>Roles</color>"
"option.tab.impostorRoles" : "Impostor <color=#ffffffff>Roles</color>"
"option.tab.neutralRoles" : "Neutral <color=#ffffffff>Roles</color>"
"option.tab.ghostRoles" : "Ghost <color=#ffffffff>Roles</color>"
"option.tab.modifiers" : "Modifiers"
"option.tab.escapeRoles" : "Escape <color=#ffffffff>Roles</color>"
"option.tab.advancedSettings" : "Advanced <color=#ffffffff>Settings</color>"

"option.display.pressTabForMore" : "Press Tab For More"
"option.display.percentage.andSoForth" : "<color=#606060ff>-</color>"
"option.display.percentage.0" : "0%"
"option.display.percentage.10" : "10%"
"option.display.percentage.20" : "20%"
"option.display.percentage.30" : "30%"
"option.display.percentage.40" : "40%"
"option.display.percentage.50" : "50%"
"option.display.percentage.60" : "60%"
"option.display.percentage.70" : "70%"
"option.display.percentage.80" : "80%"
"option.display.percentage.90" : "90%"
"option.display.percentage.100" : "100%"
"option.display.infinity" : "∞"
"option.display.none" : "<color=#606060ff>None</color>"
"option.display.random" : "Random"
"option.display.preset.1" : "Preset 1"
"option.display.preset.2" : "Preset 2"
"option.display.preset.3" : "Preset 3"
"option.display.preset.4" : "Preset 4"
"option.display.preset.5" : "Preset 5"
"option.switch.on" : "<color=#ffffd6ff>On</color>"
"option.switch.off" : "<color=#606060ff>Off</color>"

"option.preset" : "Preset"
"option.gameMode" : "Game Mode"
"option.roleChance" : "Spawn Chance"
"option.roleChanceSecondary" : "Spawn Chance(Secondary)"
"option.roleCount" : "Max Players"
"option.roleCount.assignment" : "Roles Assignment"
"option.crewmateRoles" : "Crewmate Roles"
"option.minimumCrewmateRoles" : "Minimum Crewmate Roles"
"option.maximumCrewmateRoles" : "Maximum Crewmate Roles"
"option.neutralRoles" : "Neutral Roles"
"option.minimumNeutralRoles" : "Minimum Neutral Roles"
"option.maximumNeutralRoles" : "Maximum Neutral Roles"
"option.impostorRoles" : "Impostor Roles"
"option.minimumImpostorRoles" : "Minimum Impostor Roles"
"option.maximumImpostorRoles" : "Maximum Impostor Roles"

"option.soloFreePlayOption" : "Solo FreePlay Option"
"option.countOfDummies" : "Count Of Dummies"

"option.meetingOptions" : "Meeting Option"
"option.maxNumberOfMeetings" : "Max Number Of Meetings"
"option.deathPenaltyForDiscussionTime" : "Death Penalty For Voting Time"
"option.additionalEmergencyCoolDown" : "Additional Emergency Cool Down"
"option.additionalEmergencyCoolDownCondition" : "Sacrifices Limit"
"option.canUseEmergencyWithoutDeath" : "Can't Use Emergency Without Anyone's Death"
"option.canUseEmergencyWithoutSabotage" : "Can't Use Emergency Without Any Sabotage"
